"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT00173459","Dynamic Profiles of Cytokine/Chemokine in Severe Acute Respiratory Syndrome",,"Completed","No Results Available","SARS",,,"National Taiwan University Hospital","All","20 Years and older   (Adult, Older Adult)",,,"Other","Observational","Observational Model: Case Control|Time Perspective: Longitudinal|Time Perspective: Retrospective","9461700671",,,,"September 15, 2005",,"September 15, 2005",,,"https://ClinicalTrials.gov/show/NCT00173459"
12,"NCT00215826","Study of Alferon® LDO (Low Dose Oral) in Normal Volunteers",,"Completed","No Results Available","Severe Acute Respiratory Syndrome","Drug: Alferon LDO","Gene expression analysis|SARS CoV Antibody|SARS-CoV infection","AIM ImmunoTech Inc.","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","10","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","LDO-102","November 2004","April 2006","April 2006","September 22, 2005",,"April 17, 2013","Princess Margaret Hospital, Lai Chi Kok, Kowloon, Hong Kong",,"https://ClinicalTrials.gov/show/NCT00215826"
13,"NCT02932774","Randomized, Double Blind, Parallel Group, Placebo Controlled, Multi-Center Study of the Efficacy and Safety of Cetirizine HCl Syrup vs. Loratadine Syrup vs. Placebo in Treatment of Children With Seasonal Allergic Rhinitis (SAR)",,"Completed","No Results Available","Allergic Rhinitis|Hay Fever|SAR|Rhinitis, Allergic, Seasonal","Drug: Cetirizine|Drug: Loratadine|Other: Placebo","Change from baseline to the Overall endpoint in the subject 24-hour reflective total symptom severity complex (TSSC) score|Change from baseline to the Overall endpoint in the subject 24-hour reflective TSSC, with and without stuffy nose score|Change from baseline to the Overall endpoint in the individual rhinoconjunctivitis symptoms (reflective and instantaneous)|Investigator evaluation of rhinoconjunctivitis symptoms|Parent/legal guardian evaluation of subject's rhinoconjunctivitis symptoms|Investigator Global Evaluations of Efficacy at Visit 4/early termination|Subject/Parent/Legal Guardian Global Evaluations at Visit 4/early termination|Parent/Legal Guardian Overall Personal Satisfaction Assessment at Visit 4/early termination|Parental Burden Questionnaire","Johnson & Johnson Consumer and Personal Products Worldwide|Pfizer","All","6 Years to 11 Years   (Child)","Phase 4","683","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","A1431009","March 2001","July 2001","July 2001","October 13, 2016",,"April 20, 2017",,,"https://ClinicalTrials.gov/show/NCT02932774"
14,"NCT00150475","Contamination During Removal of Two Different Personal Protective Systems",,"Completed","No Results Available","Severe Acute Respiratory Syndrome","Procedure: Powered Air purifying respirator","The primary endpoint of this study is the presence of any detected|base clothing layer, skin, or hair contamination.|The secondary endpoints: 1) contamination episodes of any layer, and 2) protective|system donning and removal procedure violations","Queen's University|The Physicians' Services Incorporated Foundation","All","18 Years to 75 Years   (Adult, Older Adult)","Not Applicable","50","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single|Primary Purpose: Educational/Counseling/Training","PSI 04-58","January 2005",,"May 2005","September 8, 2005",,"September 8, 2005","Kingston General Hospital, Kingston, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT00150475"
15,"NCT02497885","Seroprevalence of MERS-CoV IgG in Healthcare Workers",,"Completed","No Results Available","Coronavirus Infections",,"IgG(+)","Ewha Womans University Mokdong Hospital","All","18 Years and older   (Adult, Older Adult)",,"737","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","KMSG_HCW_IgG","August 2015","October 2015","October 2015","July 15, 2015",,"October 30, 2015","Ewha womans university mokdong hospital, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT02497885"
16,"NCT03301090","A Safety, Tolerability, Pharmacokinetics and Immunogenicity Trial of Co-administered MERS-CoV Antibodies REGN3048 and REGN3051",,"Completed","No Results Available","Corona Virus Infection","Other: Placebo|Biological: REGN3048|Biological: REGN3051","Changes from baseline in abbreviated physical examination|Changes from baseline in clinical safety laboratory values|Changes from baseline in Electrocardiogram (ECG) parameters|Changes from baseline in symptom-directed physical examination|Changes from baseline in vital signs|The incidence of Adverse Events|The incidence of treatment-emergent Serious Adverse Events|The severity of Adverse Events assessed by toxicity grading criteria|The severity of treatment-emergent Serious Adverse Events assessed by toxicity grading criteria|The type of treatment-emergent Serious Adverse Events|AUC for each dose of REGN3048 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)|AUC for each dose of REGN3051 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)|AUC(0-infinity) for each dose of REGN3048 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)|AUC(0-infinity) for each dose of REGN3051 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)|CL for each dose of REGN3048 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)|CL for each dose of REGN3051 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)|CMAX for each dose of REGN3048 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)|CMAX for each dose of REGN3051 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)|K(e) for each dose of REGN3048 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)|K(e) for each dose of REGN3051 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)|t(1/2) for each dose of REGN3048 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)|t(1/2) for each dose of REGN3051 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)|The change from baseline of antibodies against REGN3048 and REGN3051 (anti-drug antibodies, ADA), as measured in serum using validated bridging assays|TMAX for each dose of REGN3048 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)|TMAX for each dose of REGN3051 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)|V(ss) for each dose of REGN3048 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)|V(ss) for each dose of REGN3051 measured using validated Enzyme Linked Immunosorbent Assays (ELISAs)","National Institute of Allergy and Infectious Diseases (NIAID)","All","18 Years to 45 Years   (Adult)","Phase 1","48","NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","15-0109|HHSN272201500005I","February 12, 2018","January 19, 2019","January 19, 2019","October 4, 2017",,"February 1, 2019","WCCT Global Cypress Clinical Pharmacology Unit, Cypress, California, United States",,"https://ClinicalTrials.gov/show/NCT03301090"
17,"NCT00172263","The Interaction Between Severe Acute Respiratory Distress Syndrome Viral Proteins and Monocytes",,"Withdrawn","No Results Available","Severe Acute Respiratory Syndrome","Procedure: blood sampling",,"National Taiwan University Hospital","All","Child, Adult, Older Adult","Not Applicable","0","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)","9261701054",,,,"September 15, 2005",,"December 10, 2012","Li-Chieh Wang, MD, Taipei, Taiwan, China",,"https://ClinicalTrials.gov/show/NCT00172263"
18,"NCT01936363","Trial of Pimasertib With SAR245409 or Placebo in Ovarian Cancer",,"Completed","Has Results","Ovarian Cancer","Drug: Pimasertib once daily|Drug: Pimasertib placebo|Drug: SAR245409 placebo|Drug: SAR245409|Drug: Pimasertib twice daily","Objective Tumor Response|Progression-Free Survival|Percentage of Participants With Disease Control|Overall Survival|Health Related Quality of Life (HrQoL) Assessed Using European Organization for Research and Treatment of Cancer Quality of Life Questionnaire C30 (EORTC QLQ-C30)|Health Related Quality of Life (HrQoL) Assessed Using European Organization for Research and Treatment of Cancer (EORTC) Ovarian-Specific Module Quality of Life Questionnaire Ovarian Cancer Module (QLQ-OV28)|Number of Participants With Treatment Emergent Adverse Events (TEAEs), Serious TEAEs, TEAEs Leading to Discontinuation of Treatment and Death|Maximum Plasma Concentration (Cmax) After Dose of Pimasertib and SAR245409|Area Under the Curve (AUC) After Dose of Pimasertib and SAR245409|Molecular Alterations in MAPK and/or PI3K Signaling Pathway Components/Modulators in Tumor Tissue and Blood","EMD Serono|Sanofi","Female","18 Years and older   (Adult, Older Adult)","Phase 2","65","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","EMR 200066_012|2013-000902-40","September 30, 2013","May 31, 2015","November 30, 2017","September 6, 2013","April 7, 2017","December 12, 2018","Research site, Augusta, Georgia, United States|Research site, Chicago, Illinois, United States|Research site, Indianapolis, Indiana, United States|Research site, Silver Spring, Maryland, United States|Research site, Boston, Massachusetts, United States|Research site, Boston, Massachusetts, United States|Research site, Ann Arbor, Michigan, United States|Research site, Detroit, Michigan, United States|Research site, Kansas City, Missouri, United States|Research site, Saint Louis, Missouri, United States|Research site, Kalispell, Montana, United States|Research site, New York, New York, United States|Research site, Cincinnati, Ohio, United States|Research site, Columbus, Ohio, United States|Research site, Middletown, Ohio, United States|Research site, Nashville, Tennessee, United States|Research site, Houston, Texas, United States|Research site, Northmead, New South Wales, Australia|Research site, Greenslopes, Queensland, Australia|Research site, Subiaco, Western Australia, Australia|Research site, Kortrijk, Belgium|Research site, Leuven, Belgium|Research site, Hamilton, Ontario, Canada|Research site, Toronto, Ontario, Canada|Research site, Montreal, Quebec, Canada|Research site, Montreal, Quebec, Canada|Research site, Quebec, Canada|Research site, Bordeaux Cedex, Gironde, France|Research site, Chorzow, Poland|Research site, Palma Mallorca, Baleares, Spain|Research site, Madrid, Spain|Research site, Madrid, Spain|Research site, Sevilla, Spain|Research site, Valencia, Spain",,"https://ClinicalTrials.gov/show/NCT01936363"
19,"NCT00807053","Dose-ranging Study to Assess the Efficacy and Safety of Ciclesonide HFA Nasal Aerosol in Adult and Adolescent Patients 12 Years and Older With Seasonal Allergic Rhinitis (SAR) (BY9010/M1-602)",,"Completed","No Results Available","Rhinitis, Allergic, Seasonal","Drug: Ciclesonide HFA|Drug: Placebo","Average of AM and PM patient-reported reflective Total Nasal Symptom Score (TNSS) over the first two weeks of treatment|Average of AM and PM patient-reported instantaneous TNSS over the first two weeks of treatment|Physician-assessed total nasal symptoms score (PNSS) over the treatment period|Rhinoconjunctivitis Quality of Life Questionaire (RQLQ) over the treatment period in patients (adolescents and adults) with impaired quality of life at Baseline defined as a RQLQ score of greater than 3.0","AstraZeneca","All","12 Years and older   (Child, Adult, Older Adult)","Phase 2","480","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","BY9010/M1-602","April 2007","June 2007","July 2007","December 11, 2008",,"December 5, 2016","Altana/Nycomed, Mission Viejo, California, United States|Altana/Nycomed, Orange, California, United States|Altana/Nycomed, San Diego, California, United States|Altana/Nycomed, Colorado Springs, Colorado, United States|Altana/Nycomed, Denver, Colorado, United States|Altana/Nycomed, Gainsville, Georgia, United States|Altana/Nycomed, Savannah, Georgia, United States|Altana/Nycomed, Stockbridge, Georgia, United States|Altana/Nycomed, Indianapolis, Indiana, United States|Altana/Nycomed, Overland Park, Kansas, United States|Altana/Nycomed, Bethesda, Maryland, United States|Altana/Nycomed, Minneapolis, Minnesota, United States|Altana/Nycomed, St. Louis, Missouri, United States|Altana/Nycomed, Lincoln, Nebraska, United States|Altana/Nycomed, Papillion, Nebraska, United States|Altana/Nycomed, Skillman, New Jersey, United States|Altana/Nycomed, West Brick, New Jersey, United States|Altana/Nycomed, Raleigh, North Carolina, United States|Altana/Nycomed, Ashland, Oregon, United States|Altana/Nycomed, Medford, Oregon, United States|Altana/Nycomed, Portland, Oregon, United States|Altana/Nycomed, Blue Bell, Pennsylvania, United States|Altana/Nycomed, Pittsburgh, Pennsylvania, United States|Altana/Nycomed, Upland, Pennsylvania, United States|Altana/Nycomed, Charleston, South Carolina, United States|Altana/Nycomed, Austin, Texas, United States|Altana/Nycomed, New Braunfels, Texas, United States|Altana/Nycomed, San Antonio, Texas, United States|Altana/Nycomed, Draper, Utah, United States|Altana/Nycomed, Burke, Virginia, United States|Altana/Nycomed, Richmond, Virginia, United States",,"https://ClinicalTrials.gov/show/NCT00807053"
20,"NCT03331380","Technical Development of Cardiovascular Magnetic Resonance Imaging (CMR) Using a Low Specific Absorption Rate (SAR) Scanner System",,"Recruiting","No Results Available","CAD","Device: MRI scan x 1 Healthy Volunteer|Device: MRI scan x 2 Healthy Volunteer|Device: MRI scan x 2 - CAD patients|Device: MRI scan x 2- non CAD patients","Technical feasibility and Non- inferiority of the above measurements and examinations obtained using low SAR CMR versus commercial CMR in healthy volunteers and in patients with heart disease|Numerous exploratory secondary endpoints are sought around the listed measurements across MRI systems and disease states","National Heart, Lung, and Blood Institute (NHLBI)|National Institutes of Health Clinical Center (CC)","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","1600","NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Factorial Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","180011|18-H-0011","January 5, 2018","May 31, 2022","May 31, 2022","November 6, 2017",,"January 9, 2020","National Institutes of Health Clinical Center, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT03331380"
